uid,condition,anger_premeasure,anxiety_premeasure,green_r1,green_r2,red_r1,red_r2,yellow_r1,yellow_r2,blue_r1,blue_r2,clear_r1,clear_r2,steps_r1,steps_r2,r1_score,r2_score,r2_typing_help,r1_typing_help
60ff7efcb489b392488f340e,3,1.5,38,13,14,6,9,2,2,0,0,1,0,808,953,250,320,1,1
5f1611b74f568f177ca351c4,2,0,60.3333333333333,13,11,5,3,1,2,2,1,1,1,587,704,230,170,1.5,1.5
5ac560359534ba0001c74715,3,6,9.33333333333333,20,20,10,11,4,4,0,0,0,0,1240,1650,400,420,2,2
5f0a7dec44c42c19a6c9f6d9,3,0,19.6666666666667,2,7,2,2,0,0,0,1,3,2,262,424,60,110,.5,0
6110c02b1436b0f7ba5897a7,1,14.5,55.3333333333333,15,16,7,5,1,4,1,0,0,0,885,1024,290,260,2,1
61098e4d45233c111abf1db0,1,0,31.6666666666667,11,17,5,8,0,0,0,0,0,0,736,893,210,330,0,0
600c167e28de48080e812884,3,0,0,2,3,1,1,0,0,1,2,0,0,412,391,40,50,1,.5
614f96dbd2ffada13bf93f18,2,.5,4,4,3,1,4,0,1,1,1,1,1,330,372,60,110,1,.5
559ad287fdf99b219a612d22,1,0,9,11,22,7,11,0,0,4,0,2,0,756,1139,250,440,0,2
5d5497857aff650001a18c3c,3,1.5,31,2,9,2,2,2,3,0,2,0,0,473,416,60,130,2.5,1
5a69b952f561b400011e188d,1,0,23.3333333333333,4,4,2,2,0,0,0,0,0,0,297,319,80,80,0,0
5e16c978783225c8108ef055,2,0,0,3,9,0,1,1,1,0,0,0,0,532,671,30,110,.5,.5
5fe27500a85a2465b973b9df,1,0,1.33333333333333,7,6,0,2,0,0,0,0,1,3,287,402,70,100,0,0
614e22baed17f763e7d7593a,2,0,0,15,16,5,5,1,3,1,0,0,0,650,776,250,260,1.5,1
600d2374fc62894e74517f13,1,24.5,45,15,17,8,9,3,2,0,0,0,0,970,1232,310,350,1,1.5
60144cac1e8f203e861fc5f6,1,2,11,8,7,2,2,0,0,0,2,1,0,594,756,120,110,1,0
61082e948ef64d7be2877728,3,0,9,9,14,9,9,1,0,0,4,0,0,1735,1559,270,320,2,.5
56e6a66af6ed900006a5867c,1,2,78,22,21,9,8,3,2,0,0,0,0,1021,1105,400,370,1,1.5
5fd02fea84bdb809404020a2,1,71.5,91.3333333333333,9,13,3,4,0,0,0,0,0,0,1015,872,150,210,0,0
5eacb9950c7a9532645a3dca,3,6,19.3333333333333,11,15,5,5,0,0,3,3,0,0,763,913,210,250,1.5,1.5
6101652deeafbb4a9f346388,2,60,68.3333333333333,13,17,6,8,4,3,1,3,0,0,741,869,250,330,3,2.5
605770450751207a2cb288a9,3,0,0,8,12,1,3,0,1,3,3,3,7,658,753,100,180,2,1.5
614111ccec805c8c6ebd9c59,1,2.5,28,18,31,6,11,3,6,0,0,0,0,1277,2204,300,530,3,1.5
60fdd7ce470f6c1005cb87cb,3,1,3.33333333333333,10,6,4,2,2,1,2,1,0,0,529,781,180,100,1,2
601478ee2d7cc94b1f1855ec,3,.5,1.66666666666667,14,9,5,3,1,2,2,1,0,0,536,761,240,150,1.5,1.5
599da50e17c03c000151b18b,2,63,68.6666666666667,4,7,2,3,1,2,1,0,0,0,342,431,80,130,1,1
610a30b7a800f225aa297939,1,3.5,47.6666666666667,10,12,5,7,1,2,4,3,1,1,625,876,200,260,2.5,2.5
5de3658d5feb6e3736bd3672,1,1.5,1.33333333333333,8,12,1,7,1,2,2,0,0,0,716,747,100,260,1,1.5
5c0765e10ea1410001a9dc5f,2,0,6.66666666666667,2,3,1,1,0,0,0,0,0,0,231,363,40,50,0,0
5f4c500d2a325c74a03597c4,3,46.5,35.3333333333333,18,11,7,6,0,3,0,0,0,0,1713,1145,320,230,1.5,0
5bdcd88176d6d50001bc3849,1,0,1,5,6,2,1,0,0,2,1,1,4,529,970,90,80,.5,1
5917a80890da230001914301,1,0,4.33333333333333,8,8,2,4,0,0,3,0,0,0,514,732,120,160,0,1.5
608b7cf47674d3bdb4ea0b6d,1,0,11,13,13,5,6,1,0,1,3,0,0,807,832,230,250,1.5,1
5f0e9896f5e4e11e12c8f5ac,1,5.5,16.3333333333333,24,26,12,12,6,6,0,0,0,0,3460,3093,480,500,3,3
6100073943fa0309e141f522,1,15,13.3333333333333,7,16,2,6,0,0,0,1,0,0,395,647,110,280,.5,0
5f898a035298a803c5a7b8d1,2,8.5,32.6666666666667,9,12,4,4,0,2,0,0,0,0,492,785,170,200,1,0
5fe4394bc5f99b194c31318b,3,20,50.3333333333333,13,19,5,6,4,2,2,2,0,0,732,903,230,310,2,3
608e875414e027cb3b277df1,3,0,6.66666666666667,13,22,8,6,0,1,1,3,0,0,1359,1884,290,340,2,.5
611aead42e3b1db9a55ba597,1,8,8.66666666666667,5,11,3,4,0,0,1,2,1,0,576,707,110,190,1,.5
58d7d2c2e9b6dc000129148a,1,0,58.3333333333333,18,27,8,12,3,6,1,1,2,0,1834,2192,340,510,3.5,2
5f40442792000717762de583,2,17,71.6666666666667,3,11,2,4,0,2,1,3,1,0,489,732,70,190,2.5,.5
60d8c6bc9686529cdc824a49,3,0,6.66666666666667,6,16,3,6,0,0,0,0,0,0,481,839,120,280,0,0
5e850b0e390e520ec806b084,2,0,0,23,25,10,13,6,5,1,2,0,0,1108,1289,430,510,3.5,3.5
609122350e5b8e743ab41f79,2,0,25.6666666666667,8,8,1,2,0,0,4,5,1,2,647,548,100,120,2.5,2
61200d9dee82041bf3ae9bd3,1,33.5,75,7,3,3,2,0,0,0,1,0,0,762,925,130,70,.5,0
5de2271ba8c7a62554fca29f,1,0,10,12,18,5,8,3,4,0,0,0,0,979,1236,220,340,2,1.5
60c24c8ec01a8596ba5c8b85,2,1,43.3333333333333,6,5,2,1,0,0,1,1,0,0,502,882,100,70,.5,.5
5d38dd61cd5594000137c4be,3,1,80.3333333333333,13,18,0,8,0,0,0,2,0,0,1047,1028,130,340,1,0
5d4a7036c068b4001d0beebe,3,4.5,6,0,4,2,3,0,0,0,1,0,0,623,728,40,100,.5,0
6171da4573cf08b98b35ed1a,2,3,4.66666666666667,3,4,2,0,1,1,2,4,0,0,361,360,70,40,2.5,1.5
6077afdfc5a87e629ae6fab1,3,0,1.66666666666667,11,10,6,2,2,2,3,3,0,0,568,648,230,140,2.5,2.5
6123aa51faadb8aac489d260,2,45,80.6666666666667,4,9,0,5,0,0,1,1,0,2,729,570,40,190,.5,.5
60fda319d6d843f4541fb694,2,0,36.6666666666667,7,7,0,4,0,0,0,0,0,0,970,1094,70,150,0,0
5f8f46ff0b55a11953d90aa5,1,4,30.3333333333333,13,17,5,7,0,1,1,0,0,0,1668,1277,230,310,.5,.5
5d9f5c0702dca80018822b8e,1,0,0,12,11,6,8,2,1,2,0,0,0,1107,731,240,270,.5,2
5e1545d9b1fb05b6369d13e8,3,0,62,0,1,1,4,0,1,0,1,0,0,485,428,20,90,1,0
610755393a5011a18f85b3a1,3,0,5.33333333333333,10,10,2,3,0,0,1,1,0,2,433,706,140,160,.5,.5
5dd3d566e05cad3b130de19a,1,2,7.66666666666667,7,7,1,7,1,1,1,1,1,1,904,1060,90,210,1,1
59a1ddac5dfd6b000152601f,3,0,0,19,26,5,9,0,1,1,0,0,0,1511,1863,290,440,.5,.5
58f3760092ac81000154f8af,2,0,34.3333333333333,10,16,5,8,0,1,7,5,0,0,1202,1520,200,320,3,3.5
5844812dc5bc3a0001a4d553,3,1,23.6666666666667,21,25,10,10,0,0,0,0,1,0,1213,1615,410,450,0,0
610b055ddd546163c00904e6,3,40.5,66,9,6,2,4,2,1,1,1,3,0,357,675,130,140,1,1.5
6105c41aa4fe602501d5a8cc,1,31,48.3333333333333,9,12,3,2,0,0,1,4,1,1,773,648,150,160,2,.5
5ce6dc576ad4e5001e0978c8,3,0,0,5,6,2,5,0,0,0,1,0,0,469,1166,90,160,.5,0
5e3f778e91be661ca60e3540,1,0,3.66666666666667,6,8,3,2,1,2,0,0,0,0,341,503,120,120,1,.5
5beddd59e4dbf300011c1d50,2,10,4,12,14,7,9,0,0,1,0,0,0,763,983,260,320,0,.5
5f1c2ebf1d8b7c48ad3ec3db,2,.5,17.3333333333333,2,5,3,2,0,0,0,2,0,0,460,470,80,90,1,0
60721a45b75cb8f4b00abd05,2,3,4,14,19,4,7,2,5,2,1,0,0,940,1621,220,330,3,2
6108165a2f33553f9d14df9d,3,.5,5.33333333333333,9,13,5,8,1,4,1,0,2,2,882,854,190,290,2,1
5e5165d2f1ecb418da9c2db7,1,58.5,63.6666666666667,6,11,3,2,0,1,2,3,0,0,560,583,120,150,2,1
610071e6bedd92b87510d90d,3,1,6,10,12,5,8,3,6,1,1,0,0,719,1153,200,280,3.5,2
613d3cb06964f7c524a78ed0,3,7.5,44,7,4,3,1,0,1,2,3,0,0,343,347,130,60,2,1
5eb879035275547d0fcdd610,1,2.5,81.6666666666667,9,19,3,7,2,2,3,0,0,0,848,1161,150,330,1,2.5
6150924364cf0d25d3ecb2a7,1,0,3.33333333333333,2,9,3,3,0,0,2,0,1,0,614,805,80,150,0,1
60a9b8f7b9748b9999090dd8,2,40,0,25,24,8,8,5,4,1,4,0,0,1758,1731,410,400,4,3
5e04b9be7adf4bf23f066a2a,2,0,6.66666666666667,9,11,6,4,0,0,0,0,0,0,659,788,210,190,0,0
5fed41e3e14422f5e308c6e5,3,0,10,19,20,6,7,3,4,0,0,0,0,997,1131,310,340,2,1.5
6081dada045150a0244f6534,2,0,34.3333333333333,18,18,7,7,4,3,3,5,0,0,1470,1999,320,320,4,3.5
6034badeb512f97ce3682dc7,3,0,14.6666666666667,13,11,5,3,3,2,4,4,3,3,729,859,230,170,3,3.5
5df9d7c2451be5738da84e4d,1,0,10,24,27,9,11,3,5,2,0,0,0,2400,2092,420,490,2.5,2.5
5be9d049e1b58b0001e13001,3,5,15,22,24,12,12,6,4,0,0,0,0,1222,1481,460,480,2,3
60bea3dea79236a4c6a5bc61,1,18,25.3333333333333,16,20,8,8,1,0,1,1,0,0,1319,1374,320,360,.5,1
60b6c87613dc76ae924ce0d0,3,3,43.6666666666667,2,4,1,0,0,0,0,0,0,0,253,474,40,40,0,0
5b98d9362cca9c0001de161f,2,0,0,9,7,2,3,1,1,0,0,0,0,632,789,130,130,.5,.5
60fcda2818c2d1cdd55a18aa,2,10.5,26.3333333333333,22,17,8,11,3,3,0,0,0,0,839,1082,380,390,1.5,1.5
60fe1a7271f4d1a459e0fd5e,1,1,29.6666666666667,12,7,3,5,1,2,0,0,0,0,522,514,180,170,1,.5
617646d656a0115ca27ec794,1,2,1.66666666666667,18,25,8,8,3,4,1,3,1,0,1405,1923,340,410,3.5,2
60fcc00af3ec0d2d4b95c4be,3,0,45,14,14,5,4,4,2,2,1,1,3,825,890,240,220,1.5,3
5f4d53f96aa639a0d605052e,2,20,63.6666666666667,2,5,1,3,0,1,1,1,0,0,533,921,40,110,1,.5
6114b8fcb9213dc753c040e7,2,3,16,7,13,3,6,0,0,4,5,1,2,639,849,130,250,2.5,2
61538b7670ffb62cff736908,2,1.5,23.3333333333333,2,1,1,0,0,0,0,1,0,0,144,189,40,10,.5,0
59306fc35f170a00014358da,1,0,0,21,23,5,11,0,0,1,0,0,0,1192,1307,310,450,0,.5
5e7f4d2ad29f7560f032abb9,2,4,20.6666666666667,18,25,8,7,4,4,0,0,0,0,1358,1431,340,390,2,2
60fcd0f990314dce9c243fef,2,14.5,11.3333333333333,10,15,8,9,3,4,0,1,0,0,973,1056,260,330,2.5,1.5
5d730a3cf37bfe0001ff031a,3,1,34.6666666666667,2,11,0,3,1,1,1,0,0,0,307,570,20,170,.5,1
5e3dec90ce522506a9045e17,2,0,3.33333333333333,8,13,4,1,0,0,1,3,0,2,459,570,160,150,1.5,.5
5ec9fb7d111ab7533578399d,1,0,0,21,28,9,9,0,0,1,0,2,0,1267,1373,390,460,0,.5
5c02c3b20eb9aa00010dc4cc,3,3,4.33333333333333,23,22,10,10,2,6,1,0,0,0,1607,1653,430,420,3,1.5
5de301515253b03390043d12,3,1.5,15.6666666666667,9,8,1,4,0,3,0,0,0,0,475,623,110,160,1.5,0
603931b64d34b63fcd10a723,3,5,26.6666666666667,6,11,4,2,3,1,1,2,0,0,574,943,140,150,1.5,2
615224b6fec95dfc43439c28,1,0,32.3333333333333,2,7,0,2,0,0,0,0,0,0,303,416,20,110,0,0
614f6bad672ef7cf5ecfd965,1,8.5,14.3333333333333,3,9,2,3,1,3,0,0,0,0,363,400,70,150,1.5,.5
60b63b1f1d8a6fc4d72d5328,2,0,4.33333333333333,0,4,0,5,0,0,0,0,0,0,656,2092,0,140,0,0
61003dc52ef1560d130aa57b,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5de33ff0cc246f3633dc01d2,2,0,7.66666666666667,3,0,1,0,1,0,0,0,0,0,268,645,50,0,0,.5
614f486dfec3358ceeddf175,3,0,7.33333333333333,0,10,0,4,0,0,0,3,0,2,1708,697,0,180,1.5,0
614ff5087d00000408f278d5,2,3,7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
5feb7d263ce806c6a75acc04,1,61,37.3333333333333,1,0,4,4,0,0,0,0,0,0,828,941,90,80,0,0
60feb742c806994e7a6f2940,2,5,10,0,0,0,0,0,0,0,0,0,0,44,253,0,0,0,0
5fe007bddf84510e83964c4c,3,10,7.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f9b1ec2a1794a2ecec61812,2,.5,1,19,20,8,11,0,0,0,0,0,0,1167,1174,350,420,0,0
5ee11eb5636ea94d3ad43e3b,2,7,6.33333333333333,0,1,0,1,0,0,0,0,0,0,304,348,0,30,0,0
5d614d8747787f001675c4e0,3,4,41.3333333333333,4,5,3,2,2,2,0,0,0,0,344,363,100,90,1,1
5e8d44819163b611f62d706c,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6095d1be2f663b205d047133,2,45,0,5,24,2,10,0,0,0,0,0,0,736,1460,90,440,0,0
5f5c4b9c062e0f43a15ed050,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607b155c459cf45e913f93a6,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5e059d2bb1fb05fd1f841142,1,0,10,2,4,1,2,0,1,0,0,0,0,202,180,40,80,.5,0
60aef480e194cd288065cf03,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c4177c564c45700016a0f3e,3,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,99,176,0,0,0,0
5c0727ff1d461400012b61ee,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6153f53dc51ade521d3cbb20,3,0,6.33333333333333,0,5,0,1,0,0,0,0,3,0,862,760,0,70,0,0
60ef4d541f9d5122ffad5d48,1,0,.666666666666667,0,0,0,1,0,0,0,0,0,0,218,251,0,20,0,0
6112eed8fc24fa0d4e2c2b31,2,16,35.6666666666667,21,18,8,5,3,4,0,1,4,3,894,1051,370,280,2.5,1.5
614ffc34d8eff00bad1cbc0e,2,18,6.66666666666667,0,0,1,0,0,0,0,0,0,0,255,72,20,0,0,0
5dd61a909ca8a35c14d8d610,3,0,13,2,0,0,1,0,0,0,0,0,0,196,195,20,20,0,0
5da25f04c8c2de00139ed46b,1,1,75.6666666666667,0,0,0,0,0,0,0,0,0,0,110,109,0,0,0,0
604bd44cb5668ba12cc9376e,1,0,0,0,1,0,0,0,0,0,0,0,0,101,60,0,10,0,0
60fca6fcaae0897c708e0390,1,3,22.6666666666667,11,10,4,5,0,0,0,0,0,0,646,722,190,200,0,0
614e8b8fd294cc8571e9e06e,3,12.5,4.33333333333333,20,12,8,5,0,2,0,0,0,0,787,1016,360,220,1,0
5a33d736bf4d770001e6097a,1,0,.666666666666667,0,1,1,2,0,0,0,0,0,0,559,356,20,50,0,0
60e4fb1c1f2200f3304c945d,1,2,14.6666666666667,0,0,0,0,0,0,0,0,1,1,137,346,0,0,0,0
60fd795a96e15917bb9966c9,1,4,45.6666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
610f326ceebada4236a67080,2,2.5,20.6666666666667,0,0,0,0,0,0,0,1,0,0,410,377,0,0,.5,0
616f727b03e888e0f8213eec,3,0,10,0,17,0,6,0,0,0,0,0,0,0,1090,0,290,0,0
60b296b907e5c81c0ea774fb,2,4,31,0,0,0,0,0,0,0,0,0,0,108,253,0,0,0,0
61575be8af03376f466752b6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599b15bcd0bcd10001dd92d8,0, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559b1e92fdf99b426abb6227, , , , , , , , , , , , , , , , , , , 
5ae5374253072800018d5c69, , , , , , , , , , , , , , , , , , , 
5bec5b873ffbad0001e8b968, , , , , , , , , , , , , , , , , , , 
5c9d2bed010c73001706aeaa, , , , , , , , , , , , , , , , , , , 
5cba1809102bd400130c19e7, , , , , , , , , , , , , , , , , , , 
5d9264f527fdac00158fd876, , , , , , , , , , , , , , , , , , , 
5dac4dad5e53cc001499f1f6, , , , , , , , , , , , , , , , , , , 
5dec01e809c107301c5e307f, , , , , , , , , , , , , , , , , , , 
5f51529b15e36638fe535eae, , , , , , , , , , , , , , , , , , , 
5f6c954679e95605af7b3e8a, , , , , , , , , , , , , , , , , , , 
5f79bca83a2eb65c0983816d, , , , , , , , , , , , , , , , , , , 
5fc2a0d812bc59000b746ee5, , , , , , , , , , , , , , , , , , , 
60d905d968d5d28e18ee58a1, , , , , , , , , , , , , , , , , , , 
610013cef98672c7216d4eea, , , , , , , , , , , , , , , , , , , 
61077b9f2886c6032a22ee9f, , , , , , , , , , , , , , , , , , , 
6108e0f394ea82edc8b1884a, , , , , , , , , , , , , , , , , , , 
611830fe665c7b68723910b3, , , , , , , , , , , , , , , , , , , 
6140a0bc4385f9f913a303d7, , , , , , , , , , , , , , , , , , , 
6142396b3b36fa4b899db516, , , , , , , , , , , , , , , , , , , 
614e50084109bcceada6945c, , , , , , , , , , , , , , , , , , , 
61565e791eafbce15194e0ac, , , , , , , , , , , , , , , , , , , 
